Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: does not match the age of the given class,Number,18
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: does not match the age of the given class,Number,3
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: because of sickness ,Number,196
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: because of sickness ,Number,213
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: because of sickness ,Number,219
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: because of sickness ,Number,99
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: because of sickness ,Number,195
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: because of sickness ,Number,260
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: because of sickness ,Number,233
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: because of sickness ,Number,213
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: because of sickness ,Number,45
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: because of sickness ,Number,60
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: because of sickness ,Number,14
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: because of sickness ,Number,36
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: because of sickness ,Number,20
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: because of sickness ,Number,31
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: because of sickness ,Number,27
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: Children with disabilities,Number,658
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: Children with disabilities,Number,585
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: Children with disabilities,Number,535
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: Children with disabilities,Number,349
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: Children with disabilities,Number,391
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: Children with disabilities,Number,393
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: Children with disabilities,Number,515
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: Children with disabilities,Number,410
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: Children with disabilities,Number,531
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: Children with disabilities,Number,554
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: Children with disabilities,Number,564
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: Children with disabilities,Number,542
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: Children with disabilities,Number,517
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: Children with disabilities,Number,525
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: Children with disabilities,Number,615
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: other reasons,Number,64
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: other reasons,Number,108
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: other reasons,Number,111
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: other reasons,Number,67
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: other reasons,Number,111
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: other reasons,Number,154
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: other reasons,Number,133
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Female,7 to 17 years old,Cause: other reasons,Number,158
