Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Diabetes,"Per 100,000 population",6.1
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Diabetes,"Per 100,000 population",5.4
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Diabetes,"Per 100,000 population",7.3
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Diabetes,"Per 100,000 population",6.6
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Diabetes,"Per 100,000 population",9.1
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Diabetes,"Per 100,000 population",8.4
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Diabetes,"Per 100,000 population",7.7
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Diabetes,"Per 100,000 population",7.9
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Diabetes,"Per 100,000 population",7.6
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Diabetes,"Per 100,000 population",9.6
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Diabetes,"Per 100,000 population",10.6
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Diabetes,"Per 100,000 population",9.0
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Diabetes,"Per 100,000 population",8.6
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Diabetes,"Per 100,000 population",8.8
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Diabetes,"Per 100,000 population",10.4
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Diabetes,"Per 100,000 population",10.4
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Diabetes,"Per 100,000 population",10.4
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Diabetes,"Per 100,000 population",6.2
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Diabetes,"Per 100,000 population",8.2
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Diabetes,"Per 100,000 population",8.1
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Diabetes,"Per 100,000 population",6.9
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Diabetes,"Per 100,000 population",6.4
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Diabetes,"Per 100,000 population",9.0
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Diabetes,"Per 100,000 population",8.9
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Diabetes,"Per 100,000 population",6.2
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Diabetes,"Per 100,000 population",7.0
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Diabetes,"Per 100,000 population",10.4
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Diabetes,"Per 100,000 population",13.2
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Diabetes,"Per 100,000 population",9.1
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Diabetes,"Per 100,000 population",5.4
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Diabetes,"Per 100,000 population",3.9
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Diabetes,"Per 100,000 population",6.6
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Diabetes,"Per 100,000 population",4.2
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Diabetes,"Per 100,000 population",6.1
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Diabetes,"Per 100,000 population",3.8
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Diabetes,"Per 100,000 population",3.7
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Diabetes,"Per 100,000 population",7.0
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Diabetes,"Per 100,000 population",4.7
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Diabetes,"Per 100,000 population",5.0
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Diabetes,"Per 100,000 population",3.9
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Diabetes,"Per 100,000 population",7.4
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Diabetes,"Per 100,000 population",7.6
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Diabetes,"Per 100,000 population",6.5
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Diabetes,"Per 100,000 population",5.4
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Diabetes,"Per 100,000 population",5.6
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Diabetes,"Per 100,000 population",5.2
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Diabetes,"Per 100,000 population",4.7
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Diabetes,"Per 100,000 population",4.7
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Diabetes,"Per 100,000 population",4.8
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Diabetes,"Per 100,000 population",5.1
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Diabetes,"Per 100,000 population",5.7
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Diabetes,"Per 100,000 population",5.5
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Diabetes,"Per 100,000 population",6.1
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Diabetes,"Per 100,000 population",6.6
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Diabetes,"Per 100,000 population",6.8
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Diabetes,"Per 100,000 population",7.6
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Diabetes,"Per 100,000 population",7.6
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Diabetes,"Per 100,000 population",10.1
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Diabetes,"Per 100,000 population",5.2
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Diabetes,"Per 100,000 population",3.0
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Diabetes,"Per 100,000 population",4.2
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Diabetes,"Per 100,000 population",6.2
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Diabetes,"Per 100,000 population",4.9
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Diabetes,"Per 100,000 population",0.8
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Diabetes,"Per 100,000 population",2.8
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Diabetes,"Per 100,000 population",3.5
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Diabetes,"Per 100,000 population",3.1
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Diabetes,"Per 100,000 population",3.0
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Diabetes,"Per 100,000 population",7.7
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Diabetes,"Per 100,000 population",7.9
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Diabetes,"Per 100,000 population",4.7
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Diabetes,"Per 100,000 population",5.7
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Diabetes,"Per 100,000 population",7.2
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Diabetes,"Per 100,000 population",4.8
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Diabetes,"Per 100,000 population",7.9
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Diabetes,"Per 100,000 population",9.5
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Diabetes,"Per 100,000 population",7.4
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Diabetes,"Per 100,000 population",8.6
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Diabetes,"Per 100,000 population",6.6
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Diabetes,"Per 100,000 population",7.2
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Diabetes,"Per 100,000 population",6.6
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Diabetes,"Per 100,000 population",4.0
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Diabetes,"Per 100,000 population",5.2
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Diabetes,"Per 100,000 population",4.6
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Diabetes,"Per 100,000 population",4.0
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Diabetes,"Per 100,000 population",4.0
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Diabetes,"Per 100,000 population",4.0
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Diabetes,"Per 100,000 population",4.9
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Diabetes,"Per 100,000 population",3.8
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Diabetes,"Per 100,000 population",3.2
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Diabetes,"Per 100,000 population",5.0
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Diabetes,"Per 100,000 population",4.3
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Diabetes,"Per 100,000 population",3.4
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Diabetes,"Per 100,000 population",2.8
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Diabetes,"Per 100,000 population",9.4
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Diabetes,"Per 100,000 population",11.7
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Diabetes,"Per 100,000 population",5.8
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Diabetes,"Per 100,000 population",6.2
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Diabetes,"Per 100,000 population",8.6
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Diabetes,"Per 100,000 population",5.4
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Diabetes,"Per 100,000 population",13.3
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Diabetes,"Per 100,000 population",7.8
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Diabetes,"Per 100,000 population",6.2
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Diabetes,"Per 100,000 population",9.0
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Diabetes,"Per 100,000 population",11.9
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Diabetes,"Per 100,000 population",9.5
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Diabetes,"Per 100,000 population",9.5
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",39.7
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",38.5
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",32.7
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",30.4
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",27.1
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",26.1
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",21.2
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",21.6
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",18.9
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",19.0
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",17.6
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",16.3
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",16.4
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",43.2
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",45.0
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",36.7
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",31.1
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",28.3
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",15.0
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",16.2
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",15.6
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",17.3
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",16.5
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",16.9
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",14.2
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",9.8
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",29.6
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",31.4
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",27.4
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",27.0
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",20.4
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",21.0
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",17.2
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",22.9
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Chronic respiratory disease,"Per 100,000 population",20.4
